Date,Motilal_Oswal_Flexi_Cap_Fund_Direct_Growth_NAV,Union_Flexi_Cap_Fund_Direct_Growth_NAV,Polycab,Trent,Kalyan Jewellers India,JIO Financial Services,Coforge,Persistent Systems,Mahindra & Mahindra,Zomato,AIRTELPP,Cholamandalam Invest,Tube Investments of India,Bharti Airtel,Larsen & Toubro,ICICI Bank,BSE,Max Healthcare Institute,Tata Elxsi,Electrosteel Castings
2016-08-18,19.61,16.01,,192.01,,,415.2,322.77,730.12,,,222.57,,324.25,988.07,229.91,,,816.45,21.15
2016-08-17,19.46,15.98,,192,,,407.75,331.35,725.25,,,225.51,,317.37,1001.67,225.09,,,820.38,21.55
2016-08-16,19.43,15.94,,189.88,,,410.4,337.14,721.83,,,222.46,,314.43,1004.23,225.95,,,813.98,21.15
2016-08-12,19.39,15.82,,189.78,,,411.1,338.74,725.42,,,218.87,,319.34,994.6,223.59,,,826.75,21.7
2016-08-11,19.34,15.78,,188.38,,,413.35,339.98,710.8,,,219.81,,318.01,983.13,220.64,,,830.55,21.15
2016-08-10,19.14,15.87,,185.05,,,407.3,336.66,724.58,,,225.24,,318.1,988.8,217.59,,,834,21.5
2016-08-09,19.5,15.7,,185.24,,,414.8,333.27,740.38,,,228.17,,320.86,1000.63,223.05,,,851.5,21.95
2016-08-08,19.71,15.59,,187.22,,,421.7,336.32,748.92,,,232.91,,322.79,1004.77,222.95,,,869.17,22.85
2016-08-05,19.38,15.62,,185.12,,,423,334.52,742,,,224.76,,334.22,1008.13,223.59,,,821.12,21.85
2016-08-04,19.1,15.52,,185.08,,,425.35,336.99,717.85,,,223.36,,336.28,979.43,218.5,,,814.55,21.3
2016-08-03,19.22,15.47,,185.06,,,422.25,333.72,723.25,,,224.4,,329.49,985.73,220.09,,,811.95,21.5
2016-08-02,19.45,15.51,,185.04,,,442.35,337.86,728.98,,,230.57,,328.52,1002.23,223,,,815.52,21.95
2016-08-01,19.72,15.5,,185.74,,,446.05,336.71,735.08,,,230.43,,334.22,995.8,226.82,,,822.77,22.05
2016-07-29,19.72,15.43,,183.11,,,450.05,338.93,733.38,,,218.47,,332.43,1039.23,239,,,825.48,22.45
2016-07-28,19.48,15.5,,179.89,,,467.5,342.48,726.25,,,216.23,,341.47,1051.5,247.27,,,819.83,23.05
2016-07-27,19.35,15.44,,177.81,,,460.1,346.84,726.9,,,218.15,,342.07,1068.1,246,,,834,21.65
2016-07-26,19.19,15.23,,176.41,,,467.35,347.44,724.48,,,208.01,,339.59,1061.8,237.86,,,828.5,21.5
2016-07-25,19.25,15.21,,176.84,,,460.95,344.9,731.83,,,204.94,,341.52,1057.27,244.23,,,806.2,21.25
2016-07-22,18.98,15.22,,178.8,,,463.65,332.02,720.27,,,204.22,,337.29,1049.33,239.5,,,831.9,21
2016-07-21,18.91,15.26,,175.59,,,465.75,329.08,717.42,,,200.48,,337.75,1038.37,238.09,,,829.7,20.4
2016-07-20,18.9,15.21,,175.17,,,468.95,315.46,730.7,,,195.18,,333.67,1047.23,243.18,,,832.67,20.8
2016-07-19,18.7,15.16,,176.66,,,471.9,319.3,728.3,,,193.66,,334.49,1048.53,244.68,,,831.92,19.55
2016-07-18,18.64,15.01,,175.13,,,472.65,319.8,734.35,,,191.42,,332.98,1049.6,239.45,,,825.62,20.1
2016-07-15,18.69,14.85,,175.05,,,470.2,321.1,732.4,,,191.78,,347.9,1057.23,241.59,,,814.42,20.5
2016-07-14,18.75,14.8,,176.53,,,497.3,327.08,723.62,,,191.27,,336.93,1042.97,244.18,,,839.2,21.2
2016-07-13,18.6,14.77,,176.95,,,503.65,338.61,732.23,,,192.35,,333.94,1034.27,237.41,,,840.05,20.65
2016-07-12,18.71,15.06,,177.54,,,504.05,333.07,737.58,,,192.61,,333.57,1045.33,237.91,,,852.35,19.6
2016-07-11,18.66,14.98,,177.36,,,503.5,332.37,735.98,,,190.84,,330.41,1039.87,227.14,,,864.8,19.25
2016-07-08,18.44,15,,177.46,,,502.7,338.56,726.73,,,193.33,,326,1021.77,219.95,,,866.17,19
2016-07-07,18.39,14.99,,177,,,509.25,338.74,728.4,,,192.99,,333.62,1036.33,222.59,,,856.5,19.4
2016-07-05,18.39,14.9,,177.84,,,529.7,334.74,729.85,,,192,,335.96,1050.73,222.82,,,867.65,19.1
2016-07-04,18.45,14.87,,179.19,,,523.7,344.27,732.7,,,192.8,,342.8,1045.4,225.59,,,881.67,19.5
2016-07-01,18.31,14.96,,180.35,,,516.95,341.2,731.55,,,195.67,,338.21,1028.43,218.5,,,874.98,18.8
2016-06-30,18.24,14.83,,181.65,,,512.75,344.1,714.98,,,189.71,,336.79,997.67,218.68,,,848.5,18.5
2016-06-29,18.15,14.84,,179.29,,,496.55,348.07,708.88,,,189.75,,327.06,988.8,215.14,,,847.02,18.2
2016-06-28,18.03,14.92,,176.85,,,489.4,347.57,704.3,,,191.46,,327.88,982.7,211.95,,,844.62,18.05
2016-06-27,17.88,15.01,,168.16,,,501.6,350.36,695.9,,,191.99,,322.42,977.83,211.55,,,847.42,17.8
2016-06-24,17.81,15.12,,168.17,,,507.25,352.93,694.45,,,185.21,,326.73,953.73,209.95,,,855.62,17.85
2016-06-23,17.96,15.07,,168.18,,,522.15,355.15,687.38,,,186.36,,334.95,999.07,219,,,887.77,18.5
2016-06-22,17.84,14.96,,167.94,,,522.25,352.16,679.75,,,186.57,,333.34,994.37,217.27,,,890.25,18.6
2016-06-21,17.84,14.96,,169.87,,,528.6,349.79,683.42,,,187.61,,332.56,996.53,216.23,,,892.65,18.8
2016-06-20,17.95,14.95,,169.44,,,534.3,347.34,675.42,,,188.13,,334.68,1004.7,216.45,,,895.85,18.8
2016-06-17,17.78,14.94,,168.51,,,541.55,345.05,672,,,183.52,,327.79,986.83,216.77,,,886.62,18.8
2016-06-16,17.7,14.89,,169.61,,,543.95,341.95,671.98,,,184.11,,318.15,996.13,217.32,,,891.17,19
2016-06-15,17.81,14.88,,168.72,,,555,351.68,677.77,,,184.64,,323.11,1009.2,225.41,,,900.6,19.05
2016-06-14,17.62,14.81,,170.15,,,566.65,351.48,677.8,,,189.91,,314.61,973.7,222.68,,,897.45,19.1
2016-06-13,17.62,14.68,,169.37,,,554.9,351.46,678.67,,,191.88,,314.38,977.43,221.59,,,896.38,18.65
2016-06-10,17.72,14.44,,168.81,,,532.35,356.62,687.92,,,195.86,,322.37,991.8,229.64,,,897.88,19
2016-06-09,17.79,14.11,,169.74,,,526.7,354.35,686.7,,,198.75,,322.51,994.3,231.41,,,901.42,18
2016-06-08,17.88,14.13,,169.12,,,541.35,359.04,693.15,,,202.26,,323.8,1007.47,234.23,,,904.6,18
2016-06-07,17.89,14.25,,170.45,,,512.9,359.72,688.98,,,199.38,,320.58,991.93,231,,,902.1,17.45
2016-06-06,17.9,14.36,,168.93,,,504.65,363.06,684.85,,,201.17,,320.21,978.8,221.36,,,888.12,17.3
2016-06-03,17.88,14.5,,168.24,,,497,361.69,677.1,,,202.61,,328.85,973.73,221.59,,,895.92,17.35
2016-06-02,17.88,14.55,,170.06,,,499.95,363.88,666.62,,,205.34,,336.24,984.83,219.41,,,909.52,17.65
2016-06-01,17.76,14.48,,169.09,,,497,362.71,666.88,,,196.19,,333.53,976.7,218.23,,,891.7,17.7
2016-05-31,17.76,14.42,,163.46,,,485.6,367.62,661.15,,,195.11,,322.65,982.37,222.41,,,900.3,17.5
2016-05-30,17.84,14.52,,174.13,,,475.5,367.2,665.42,,,189.87,,326.78,991.4,222.27,,,922.92,17.45
2016-05-27,17.79,14.37,,179.03,,,474.6,367.3,666.85,,,177.06,,322.51,983.27,221.05,,,923.55,17.65
2016-05-26,17.45,14.35,,176.62,,,474.95,365.98,669.55,,,174.81,,323.98,982.77,219.23,,,907.52,17.9
2016-05-25,17.31,14.33,,180.93,,,475.1,364.95,655.88,,,178.46,,322.88,861.07,213.64,,,904.6,17.85
2016-05-24,16.93,14.13,,176.26,,,475.45,361.14,647.4,,,179.23,,316.91,828.1,204.14,,,889.83,17.6
2016-05-23,17.03,14.13,,175.29,,,475.2,362.93,642.48,,,175.32,,317.55,827.47,201,,,917.45,18.05
2016-05-20,17.21,14.11,,175.99,,,474.9,363.38,646.55,,,176.25,,313.97,836.73,200.09,,,922.48,18.25
2016-05-19,17.4,14.2,,176.44,,,473.05,361.66,655.52,,,175.27,,316.59,844.07,205.05,,,937.52,18.4
2016-05-18,17.53,14.28,,176.06,,,479.05,360.26,663,,,176.71,,322.51,873.23,205.86,,,959.85,18.5
2016-05-17,17.62,14.3,,177.06,,,478.8,366.43,670.98,,,177.79,,322.46,860.73,205.41,,,961.92,18.4
2016-05-16,17.53,14.28,,177.03,,,473.6,360.11,658.15,,,180.18,,324.53,855.5,203.41,,,949.9,18.45
